1088,"Patterson","William","x4871","wpatterson@classicmodelcars.com","6",1056,"Sr. Sales Manager",1
1102,"Bondur","Gerard","x5408","gbondur@classicmodelcars.com","4",1056,"Sales Manager",1
1143,"Bow","Anthony","x5428","abow@classicmodelcars.com","1",1056,"Sr. Sales Manager",2
1165,"Jennings","Leslie","x3291","ljennings@classicmodelcars.com","7",1143,"Sales Manager",2
1166,"Thompson","Leslie","x4065","lthompson@classicmodelcars.com","5",1143,"Sales Manager",2
1188,"Firrelli","Julie","x2173","jfirrelli@classicmodelcars.com","2",1143,"Sales Manager",1
1216,"Patterson","Steve","x4334","spatterson@classicmodelcars.com","3",1143,"Sales Manager",2
1286,"Tseng","Foon Yue","x2248","ftseng@classicmodelcars.com","3",1143,"Sales Rep",0
1323,"Vanauf","George","x4102","gvanauf@classicmodelcars.com","3",1143,"Sales Rep",0
1337,"Bondur","Loui","x6493","lbondur@classicmodelcars.com","4",1102,"Sales Rep",0
1370,"Hernandez","Gerard","x2028","ghernande@classicmodelcars.com","4",1102,"Sales Rep",0
1401,"Castillo","Pamela","x2759","pcastillo@classicmodelcars.com","4",1102,"Sales Rep",0
1501,"Bott","Larry","x2311","lbott@classicmodelcars.com","7",1102,"Sales Rep",0
1504,"Jones","Barry","x102","bjones@classicmodelcars.com","7",1102,"Sales Rep",0
1611,"Fixter","Andy","x101","afixter@classicmodelcars.com","6",1088,"Sales Rep",0
1612,"Marsh","Peter","x102","pmarsh@classicmodelcars.com","6",1088,"Sales Rep",0
1619,"King","Tom","x103","tking@classicmodelcars.com","6",1088,"Sales Rep",0
1621,"Nishi","Mami","x101","mnishi@classicmodelcars.com","5",1056,"Sales Rep",0
1625,"Kato","Yoshimi","x102","ykato@classicmodelcars.com","5",1621,"Sales Rep",0
1702,"Gerard","Martin","x2312","mgerard@classicmodelcars.com","4",1102,"Sales Rep",0
2000,"Agrawal","Shridhar","x8208","Shridhar@Agrawal.com","1",1165,"Sales Associate",0
2001,"Arroyo","Sara","x8651","Sara@Arroyo.com","1",1216,"Sales Associate",0
2002,"Eugene","Bridget","x7780","Bridget@Eugene.com","7",1188,"Sales Champion",0
